Removed Pin From Net: NetName=1WIRE_BUS Pin=D7-3
Removed Pin From Net: NetName=UART.RX Pin=R43-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=R43-2
Removed Pin From Net: NetName=GND Pin=R56-1
Removed Pin From Net: NetName=GND Pin=R58-1
Removed Pin From Net: NetName=GND Pin=R59-1
Removed Pin From Net: NetName=1WIRE_BUS Pin=U7-2
Removed Member From Class: ClassName=1Wire Member=D7
Removed Member From Class: ClassName=1Wire Member=R43
Change Component Footprint: Designator=J1 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=J2 Old Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1 New Footprint=DF40HC(3.0)-100DS-0.4V(51-Footprint-1
Change Component Footprint: Designator=R43 Old Footprint=SMD_RES_0402(1005)_N New Footprint=SMD_RES_2512(6432)_N
Change Component Footprint: Designator=D7 Old Footprint=SOT23-3 New Footprint=LED_3MM_SPACED_6.4MM_BLUE
Change Component Comment : Designator=J11 Old Comment=C71827 New Comment=B2100S40PE000
Change Component Comment : Designator=D7 Old Comment=LBAT54ALT1G New Comment=TJ-L3FYTGCBMCGSFLC6B-A5
Change Component Comment : Designator=R43 Old Comment=RC0402FR-070RL New Comment=AC2512FK-07470RL
Change Managed Component Library Link : Designator=J1 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change Managed Component Library Link : Designator=J2 Old VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 New VaultGUID=D814680C-BF6A-48BF-A460-F1E8172B4765 Old ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 New ItemGUID=30d6e968-bd07-405d-aeff-92325dd631e9 Old RevisionGUID=abb70f75-5808-4815-97cc-c6b55b50e4a6 New RevisionGUID=e82a4879-8232-478d-abe3-1a5de26feeaf
Change component parameters: Designator = "R43" ("R43"); Footprint = "SMD_RES_0402(1005)_N"; UniqueID = "\TKWWRQBJ\IQZFYCUO" ("\TKWWRQBJ\IQZFYCUO")
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End A"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End A Pin Count"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End B"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End B Pin Count"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Mounting"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector System"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Mating Length"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Termination"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "contact_plating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description/Function"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimension"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dynamic Catalog"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ELV"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "elv_compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Flammability Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Glow Wire Compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Above Board"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Stacking (Mating)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Hole Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Colour"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "housing_color"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ingress Protection"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inside Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lead_free_status"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "lifecycle_status"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Detail Url"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Cycles"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Post Length"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Products"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (AC)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (DC)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG PN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "No of Positions"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "No. of Contacts"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of arrays"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Conductors"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Lines"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Poles"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Ports"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions Loaded"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Terminals"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart Url"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "OctopartID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Online Catalog"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "3000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part # Aliases"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part No"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.016inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Plating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rad Hard"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "rohs_status"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Row Spacing"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Seller Landing  Url"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Specifications"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Style/Orientation"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier PN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SVHC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Method"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Post Length"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination Style"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (AC)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire connection method"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Gauge - AWG"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Voltage"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "J2" ("J2"); Footprint = "DF40HC(3.0)-100DS-0.4V(51-Footprint-1"; UniqueID = "\TKWWRQBJ\OINJQCNK" ("\TKWWRQBJ\OINJQCNK")
Change component parameters (AddParameter): Name = "Actuator Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Approvals"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Brand"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Size"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Circuit Application"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Colour"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink0Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink9URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink10URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End A"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End A Pin Count"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End B"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector End B Pin Count"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Mounting"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector System"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Mating Length"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Termination"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "contact_plating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description/Function"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimension"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dynamic Catalog"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ELV"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "elv_compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Flammability Rating"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Glow Wire Compliant"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Halogen Free"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Above Board"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height Stacking (Mating)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Hole Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Colour"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "housing_color"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ingress Protection"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inside Diameter"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation"; Value = ""; VariantName = "[No Variations]"
